name,rating,votes,year,url,plot,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,company_name,company_url,company_country,company_startyear
007 Racing,5.5,150,2000,https://www.imdb.com/title/tt0268100/?ref_=adv_li_tt,"You are Bond, James Bond, behind the wheel of the famous Bond vehicles and a new rental car. When a freighter bound for Halifax, Canada was intercepted and eliminated with military ... See full summary »",Racing,0.3,0.2,0.0,0.03,0.53,Electronic Arts,https://www.igdb.com/companies/electronic-arts,United States,1982.0
007 Racing,5.5,150,2000,https://www.imdb.com/title/tt0268100/?ref_=adv_li_tt,"You are Bond, James Bond, behind the wheel of the famous Bond vehicles and a new rental car. When a freighter bound for Halifax, Canada was intercepted and eliminated with military ... See full summary »",Racing,0.3,0.2,0.0,0.03,0.53,Eutechnyx,https://www.igdb.com/companies/eutechnyx,United Kingdom,1996.0
24: The Game,7.7,756,2006,https://www.imdb.com/title/tt0454763/?ref_=adv_li_tt,CTU is investigating a series of terrorist attacks in the Los Angeles area ranging from an assassination attempt on the vice president to the kidnapping of the chairman of a highly profitable corporation.,Adventure,0.15,0.12,0.0,0.04,0.3,2K Games,https://www.igdb.com/companies/2k-games,United States,2005.0
24: The Game,7.7,756,2006,https://www.imdb.com/title/tt0454763/?ref_=adv_li_tt,CTU is investigating a series of terrorist attacks in the Los Angeles area ranging from an assassination attempt on the vice president to the kidnapping of the chairman of a highly profitable corporation.,Adventure,0.15,0.12,0.0,0.04,0.3,Sony Computer Entertainment Europe,https://www.igdb.com/companies/sony-computer-entertainment-europe,,
24: The Game,7.7,756,2006,https://www.imdb.com/title/tt0454763/?ref_=adv_li_tt,CTU is investigating a series of terrorist attacks in the Los Angeles area ranging from an assassination attempt on the vice president to the kidnapping of the chairman of a highly profitable corporation.,Adventure,0.15,0.12,0.0,0.04,0.3,SCE Cambridge Studio,https://www.igdb.com/companies/sce-cambridge-studio,United Kingdom,1997.0
25 to Life,5.7,97,2006,https://www.imdb.com/title/tt0813394/?ref_=adv_li_tt,Andre Francis gets involved into the life of gangsters and crimes & trys to find redemption,Shooter,0.47,0.05,0.0,0.0699999999999999,0.59,Eidos Interactive,https://www.igdb.com/companies/eidos-interactive,United Kingdom,1996.0
25 to Life,5.7,97,2006,https://www.imdb.com/title/tt0813394/?ref_=adv_li_tt,Andre Francis gets involved into the life of gangsters and crimes & trys to find redemption,Shooter,0.47,0.05,0.0,0.0699999999999999,0.59,Avalanche Software,https://www.igdb.com/companies/avalanche-software,United States,1995.0
3D Dot Game Heroes,7.3,29,2009,https://www.imdb.com/title/tt1663305/?ref_=adv_li_tt,Add a Plot,Role-Playing,0.36,0.12,0.03,0.07,0.57,Atlus,https://www.igdb.com/companies/atlus,Japan,1986.0
3D Dot Game Heroes,7.3,29,2009,https://www.imdb.com/title/tt1663305/?ref_=adv_li_tt,Add a Plot,Role-Playing,0.36,0.12,0.03,0.07,0.57,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986.0
3D Dot Game Heroes,7.3,29,2009,https://www.imdb.com/title/tt1663305/?ref_=adv_li_tt,Add a Plot,Role-Playing,0.36,0.12,0.03,0.07,0.57,SouthPeak Interactive,https://www.igdb.com/companies/southpeak-interactive,United States,1996.0
3D Dot Game Heroes,7.3,29,2009,https://www.imdb.com/title/tt1663305/?ref_=adv_li_tt,Add a Plot,Role-Playing,0.36,0.12,0.03,0.07,0.57,Silicon Studio,https://www.igdb.com/companies/silicon-studio,Japan,2000.0
3Xtreme,7.3,21,1999,https://www.imdb.com/title/tt0358904/?ref_=adv_li_tt,"3Xtreme (pronounced as ""extreme"") is a racing game released for the PlayStation in 1999. As with 2Xtreme, 3Xtreme contains skateboarding, skating, and cycling options to reach the goal ... See full summary »",Action,0.5,0.34,0.0,0.06,0.9,989 Studios,https://www.igdb.com/companies/989-studios,United States,1998.0
40 Winks,7.9,51,1999,https://www.imdb.com/title/tt0274310/?ref_=adv_li_tt,"When Nitekap became angry for not being able to get a good nights sleep, he devises a plan to take away everyone else's nap times by abducting the 40 Winks. The Winks are the creatures that... See full summary »",Platform,0.17,0.12,0.0,0.02,0.31,GT Interactive Software,https://www.igdb.com/companies/gt-interactive-software,United States,1993.0
