name,url,year,rating,votes,plot
.hack//G.U. Vol.1//Rebirth,https://www.imdb.com/title/tt0796806/?ref_=adv_li_tt,2006,7.8,85,Add a Plot
.hack//G.U. Vol.2//Reminisce,https://www.imdb.com/title/tt0929249/?ref_=adv_li_tt,2006,7.1,42,Add a Plot
.hack//G.U. Vol.3//Redemption,https://www.imdb.com/title/tt1043825/?ref_=adv_li_tt,2007,8.0,42,Add a Plot
.hack//Link,https://www.imdb.com/title/tt1425615/?ref_=adv_li_tt,2010,6.1,10,Add a Plot
007 Racing,https://www.imdb.com/title/tt0268100/?ref_=adv_li_tt,2000,5.5,150,"You are Bond, James Bond, behind the wheel of the famous Bond vehicles and a new rental car. When a freighter bound for Halifax, Canada was intercepted and eliminated with military ... See full summary »"
24: The Game,https://www.imdb.com/title/tt0454763/?ref_=adv_li_tt,2006,7.7,756,CTU is investigating a series of terrorist attacks in the Los Angeles area ranging from an assassination attempt on the vice president to the kidnapping of the chairman of a highly profitable corporation.
25 to Life,https://www.imdb.com/title/tt0813394/?ref_=adv_li_tt,2006,5.7,97,Andre Francis gets involved into the life of gangsters and crimes & trys to find redemption
300: March to Glory,https://www.imdb.com/title/tt0965399/?ref_=adv_li_tt,2007,5.5,132,"Videogame adaptation of the hit film ""300""."
3D Dot Game Heroes,https://www.imdb.com/title/tt1663305/?ref_=adv_li_tt,2009,7.3,29,Add a Plot
3Xtreme,https://www.imdb.com/title/tt0358904/?ref_=adv_li_tt,1999,7.3,21,"3Xtreme (pronounced as ""extreme"") is a racing game released for the PlayStation in 1999. As with 2Xtreme, 3Xtreme contains skateboarding, skating, and cycling options to reach the goal ... See full summary »"
40 Winks,https://www.imdb.com/title/tt0274310/?ref_=adv_li_tt,1999,7.9,51,"When Nitekap became angry for not being able to get a good nights sleep, he devises a plan to take away everyone else's nap times by abducting the 40 Winks. The Winks are the creatures that... See full summary »"
50 Cent: Blood on the Sand,https://www.imdb.com/title/tt1209299/?ref_=adv_li_tt,2009,6.4,170,"It's set in an urban warzone in an unnamed Middle Eastern country, where 50 Cent and G-Unit involve with a paramilitary group led by the terrorist Kamal."
50 Cent: Bulletproof,https://www.imdb.com/title/tt0450955/?ref_=adv_li_tt,2005,3.8,556,"50 Cent gets an urgent page from an old cell mate and walks into an ambush, he gets caught in a web of corruption, double-crosses and shady deals as he blasts his way to the truth."
7th Dragon 2020,https://www.imdb.com/title/tt5944526/?ref_=adv_li_tt,2011,0.0,0,Add a Plot
7th Dragon 2020-II,https://www.imdb.com/title/tt5944530/?ref_=adv_li_tt,2013,0.0,0,Add a Plot
A Bug's Life,https://www.imdb.com/title/tt0291777/?ref_=adv_li_tt,1998,6.6,718,Experience Flik's journey throughout Ant Island.
A Game of Thrones: Genesis,https://www.imdb.com/title/tt15416866/?ref_=adv_li_tt,2011,0.0,0,"What King will you be? Conqueror, Usurper or Diplomat?"
A New Beginning,https://www.imdb.com/title/tt3010846/?ref_=adv_li_tt,2010,7.3,52,"In the far future, due to ecological disasters, life is only possible in caves deep under the ground and the human race is about to disappear. Some inventors were able to develop a time machine and they send some researchers back in time."
Ace Attorney Investigations 2,https://www.imdb.com/title/tt2112960/?ref_=adv_li_tt,2011,8.7,97,"The famous prosecutor, Miles Edgeworth, solves five different murder cases, all related to a past incident, while also learning about his father's past as a defense attorney."
Ace Attorney Investigations: Miles Edgeworth,https://www.imdb.com/title/tt5929878/?ref_=adv_li_tt,2009,7.2,126,"The player control prosecutor Miles Edgeworth, who investigates five cases that tie together to form an overarching story about a smuggling ring."
Ace Combat 04: Shattered Skies,https://www.imdb.com/title/tt0364923/?ref_=adv_li_tt,2001,8.4,198,"A pilot known as Mobius 1 fights with ISAF in an impossible war with the invading fascist nation of Erusea, while a young orphan boy in a Erusea-occupied city befriends a Erusean pilot."
Ace Combat 2,https://www.imdb.com/title/tt0899262/?ref_=adv_li_tt,1997,7.9,86,A group of rebel military forces launch a massive insurrection all over the Usean continent. The takeover occurs just as several political leaders attend a peace summit in a faraway ... See full summary »
Ace Combat 3: Electrosphere,https://www.imdb.com/title/tt0811597/?ref_=adv_li_tt,1999,8.0,69,Ace Combat 3: Electrosphere is a flight simulation game made by Namco for the PlayStation game console.
Ace Combat 5: The Unsung War,https://www.imdb.com/title/tt0436034/?ref_=adv_li_tt,2004,8.6,253,"15 years after the Belkan War, the Osean Wardog squadron finds itself in the center of an unexplained war with the formerly allied nation of Yuktobania."
Ace Combat 6: Fires of Liberation,https://www.imdb.com/title/tt1031211/?ref_=adv_li_tt,2007,7.7,146,Add a Plot
