name,url,year,rating,votes,plot,Key
"MysteryDisc: Murder, Anyone?",https://www.imdb.com/title/tt0084376/?ref_=adv_li_tt,1982,6.1,38,LaserDisc FMV game similar to Clue in the form of an interactive movie in which the players choose which chapters of the story they want to follow to solve the murder of a rich man and get one of 16 possible endings.,tt0084376
MysteryDisc: Many Roads to Murder,https://www.imdb.com/title/tt0085982/?ref_=adv_li_tt,1983,0.0,0,The second entry in the MysteryDisc duology of LaserDisc FMV games similar to Clue. The players choose which chapters of an interactive movie they want to follow to solve the murder of a rich man and get one of 16 possible endings.,tt0085982
Night Trap,https://www.imdb.com/title/tt0105000/?ref_=adv_li_tt,1992,6.3,354,Strange things have been occurring at the Martins' residence. Five teenagers have already disappeared while staying there.,tt0105000
Gabriel Knight: Sins of the Fathers,https://www.imdb.com/title/tt0109865/?ref_=adv_li_tt,1993,9.1,679,"Gabriel Knight, the owner of a New Orleans, Louisiana bookstore, gets tangled up in the investigation of a series of voodoo-related murders currently plaguing the city.",tt0109865
King's Quest VII: The Princeless Bride,https://www.imdb.com/title/tt0110267/?ref_=adv_li_tt,1994,7.6,203,"A princess feeling pressured to marry follows an image of a castle into a pond, ending up in another world. Her worried mother follows and the two uncover a plan that could destroy the strange realm and the people in it.",tt0110267
Off-World Interceptor,https://www.imdb.com/title/tt0110714/?ref_=adv_li_tt,1994,0.0,0,"In a dystopian future, off-world bounty hunters called ""trashmen"" are given weaponized vehicles with boost packs by the military government to chase after mercenaries, criminals and other ... See full summary »",tt0110714
Psychic Detective,https://www.imdb.com/title/tt0110909/?ref_=adv_li_tt,1995,8.4,49,Smalltime nightclub entertainer Eric Fox is a telepath hired by odd Laina Pozok to find out if one of her weird relatives had killed her father. Eric uncovers a bizarre conspiracy centered around a missing collection of mystical objects.,tt0110909
Wing Commander III: Heart of the Tiger,https://www.imdb.com/title/tt0111727/?ref_=adv_li_tt,1994,8.8,793,"When the Terran Confederation faces the possibility of humanity losing the war with the Kilrathi, Colonel Christopher Blair (Mark Hamill), who the Kilrathi have dubbed ""The Heart of the Tiger"", is summoned.",tt0111727
Mr. Payback: An Interactive Movie,https://www.imdb.com/title/tt0113863/?ref_=adv_li_tt,1995,4.7,103,Mr. Payback is a killer cyborg sent to punish rude and selfish bullies throughout society. Audiences vote on what types of sadistic punishments Mr. Payback inflicts.,tt0113863
Ride for Your Life,https://www.imdb.com/title/tt0114282/?ref_=adv_li_tt,1995,5.9,22,"In this interactive movie, special agents are trying to stop an alien invasion. However, a decision is made. Whoever wins a cycling race wins Earth. Young cyclist Nash sees this as a chance to prove his skills.",tt0114282
