Name,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Key
'98 Koshien,1998,Sports,0.15,0.1,0.12,0.03,0.41,'98Kos98Spo
.hack//Link,2010,Role-Playing,0.0,0.0,0.14,0.0,0.14,.ha10Rol
.hack//Infection Part 1,2002,Role-Playing,0.49,0.38,0.26,0.13,1.27,.haPar102Rol
.hack//Mutation Part 2,2002,Role-Playing,0.23,0.18,0.2,0.06,0.68,.haPar202Rol
.hack//Outbreak Part 3,2002,Role-Playing,0.14,0.11,0.17,0.04,0.46,.haPar302Rol
.hack//Quarantine Part 4: The Final Chapter,2003,Role-Playing,0.09,0.07,0.0,0.02,0.18,.haPar4:TheFinCha03Rol
.hack: Sekai no Mukou ni + Versus,2012,Action,0.0,0.0,0.03,0.0,0.03,.haSeknoMukni+Ver12Act
.hack//G.U. Vol.2//Reminisce (jp sales),2006,Role-Playing,0.0,0.0,0.16,0.0,0.16,.haVol(jpsal06Rol
.hack//G.U. Vol.1//Rebirth,2006,Role-Playing,0.0,0.0,0.17,0.0,0.17,.haVol06Rol
.hack//G.U. Vol.2//Reminisce,2006,Role-Playing,0.11,0.09,0.0,0.03,0.23,.haVol06Rol
.hack//G.U. Vol.3//Redemption,2007,Role-Playing,0.0,0.0,0.17,0.0,0.17,.haVol07Rol
007: Quantum of Solace,2008,Action,0.3,0.29,0.01,0.07,0.67,007QuaofSol08Act
007: Quantum of Solace,2008,Action,0.11,0.01,0.0,0.01,0.14,007QuaofSol08Act
007: Quantum of Solace,2008,Action,0.82,0.52,0.01,0.14,1.49,007QuaofSol08Act
007: Quantum of Solace,2008,Action,0.43,0.52,0.02,0.2,1.16,007QuaofSol08Act
007: Quantum of Solace,2008,Action,0.01,0.01,0.0,0.0,0.03,007QuaofSol08Act
007: Quantum of Solace,2008,Action,0.17,0.0,0.0,0.26,0.43,007QuaofSol08Act
007 Racing,2000,Racing,0.3,0.2,0.0,0.03,0.53,007Rac00Rac
007: The World is not Enough,2000,Action,0.51,0.35,0.0,0.06,0.92,007TheWorisnotEno00Act
007: The World is not Enough,2000,Action,1.13,0.38,0.02,0.03,1.55,007TheWorisnotEno00Act
007: Tomorrow Never Dies,1999,Shooter,1.72,1.33,0.0,0.16,3.21,007TomNevDie99Sho
1/2 Summer +,2013,Adventure,0.0,0.0,0.01,0.0,0.01,1/2Sum+13Adv
100 All-Time Favorites,2009,Puzzle,0.35,0.12,0.0,0.04,0.51,100AllFav09Puz
100 Classic Books,2008,Misc,0.13,0.52,0.0,0.02,0.67,100ClaBoo08Mis
100 Classic Games,2011,Misc,0.0,0.03,0.0,0.0,0.04,100ClaGam11Mis
1000 Cooking Recipes from ELLE à table,2010,Misc,0.0,0.02,0.0,0.0,0.03,100CooRecfroELLàtab10Mis
1001 Touch Games,2011,Action,0.12,0.17,0.0,0.04,0.33,100TouGam11Act
101-in-1 Explosive Megamix,2008,Puzzle,0.05,0.13,0.0,0.02,0.2,101ExpMeg08Puz
101-in-1 Party Megamix Wii,2009,Misc,0.19,0.01,0.0,0.02,0.23,101ParMegWii09Mis
101-in-1 Sports Megamix,2010,Sports,0.08,0.0,0.0,0.01,0.08,101SpoMeg10Spo
101-in-1 Sports Party Megamix,2010,Sports,0.02,0.0,0.0,0.0,0.03,101SpoParMeg10Spo
1080°: TenEighty Snowboarding,1998,Sports,1.25,0.61,0.13,0.05,2.03,108TenSno98Spo
10 Minute Solution,2010,Sports,0.06,0.01,0.0,0.01,0.08,10MinSol10Spo
11eyes: CrossOver,2009,Adventure,0.0,0.0,0.02,0.0,0.02,11eCro09Adv
11eyes: CrossOver,2010,Adventure,0.0,0.0,0.02,0.0,0.02,11eCro10Adv
12-Sai. Honto no Kimochi,2014,Adventure,0.0,0.0,0.07,0.0,0.07,12-HonnoKim14Adv
12-Sai. Koisuru Diary,2016,Adventure,0.0,0.0,0.04,0.0,0.04,12-KoiDia16Adv
12Riven: The Psi-Climinal of Integral,2008,Adventure,0.0,0.0,0.04,0.0,0.04,12RThePsiofInt08Adv
15 Days,2009,Adventure,0.0,0.01,0.0,0.0,0.01,15Day09Adv
1701 A.D.,2006,Simulation,0.0,0.25,0.0,0.05,0.3,170A.D06Sim
187: Ride or Die,2005,Racing,0.05,0.01,0.0,0.0,0.06,187RidorDie05Rac
187: Ride or Die,2005,Racing,0.07,0.06,0.0,0.02,0.15,187RidorDie05Rac
18 Wheeler: American Pro Trucker,2001,Racing,0.2,0.15,0.0,0.05,0.4,18WheAmeProTru01Rac
18 Wheeler: American Pro Trucker,2002,Racing,0.09,0.02,0.0,0.0,0.11,18WheAmeProTru02Rac
18 Wheels of Steel: Extreme Trucker,2009,Racing,0.0,0.02,0.0,0.0,0.02,18WheofSteExtTru09Rac
18 Wheels of Steel: Extreme Trucker 2,2011,Racing,0.08,0.02,0.0,0.01,0.11,18WheofSteExtTru211Rac
1942,1985,Shooter,0.65,0.14,0.21,0.0,1.0,19485Sho
1 vs. 100,2008,Misc,0.08,0.0,0.0,0.01,0.09,1vs.10008Mis
2-in-1 Game Pack: Spider-Man & Spider-Man 2,2005,Platform,0.06,0.02,0.0,0.0,0.09,2-iGamPacSpi&Spi205Pla
2002 FIFA World Cup,2002,Sports,0.14,0.04,0.0,0.01,0.19,200FIFWorCup02Spo
2002 FIFA World Cup,2002,Sports,0.04,0.01,0.0,0.0,0.05,200FIFWorCup02Spo
2002 FIFA World Cup,2002,Sports,0.21,0.17,0.16,0.06,0.59,200FIFWorCup02Spo
2014 FIFA World Cup Brazil,2014,Sports,0.15,0.39,0.01,0.16,0.71,201FIFWorCupBra14Spo
2014 FIFA World Cup Brazil,2014,Sports,0.14,0.28,0.0,0.04,0.47,201FIFWorCupBra14Spo
2010 FIFA World Cup South Africa,2010,Sports,0.23,0.15,0.01,0.04,0.43,201FIFWorCupSouAfr10Spo
2010 FIFA World Cup South Africa,2010,Sports,0.3,0.64,0.07,0.22,1.23,201FIFWorCupSouAfr10Spo
2010 FIFA World Cup South Africa,2010,Sports,0.09,0.24,0.03,0.12,0.48,201FIFWorCupSouAfr10Spo
2010 FIFA World Cup South Africa,2010,Sports,0.32,0.43,0.02,0.09,0.86,201FIFWorCupSouAfr10Spo
24: The Game,2006,Adventure,0.15,0.12,0.0,0.04,0.3,24:TheGam06Adv
25 to Life,2006,Shooter,0.12,0.04,0.0,0.01,0.17,25toLif06Sho
25 to Life,2006,Shooter,0.35,0.01,0.0,0.06,0.42,25toLif06Sho
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,2005,Action,0.22,0.08,0.0,0.01,0.31,2Gamin1:DisBroBea/TheLioKin11/205Act
2 Games in 1: Disney Princess & The Lion King,2004,Misc,1.25,0.46,0.0,0.03,1.75,2Gamin1:DisPri&TheLioKin04Mis
2 Games in 1: Sonic Advance & ChuChu Rocket!,2005,Misc,1.31,0.49,0.0,0.03,1.83,2Gamin1:SonAdv&ChuRoc05Mis
2 Games in 1: Sonic Battle & ChuChu Rocket!,2005,Misc,0.44,0.16,0.0,0.01,0.61,2Gamin1:SonBat&ChuRoc05Mis
2 Games in 1: Sonic Pinball Party & Columns Crown,2005,Misc,0.04,0.02,0.0,0.0,0.06,2Gamin1:SonPinPar&ColCro05Mis
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2005,Platform,0.33,0.12,0.0,0.01,0.45,2Gamin1:SpoSquSup&RugGoWil05Pla
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,2005,Racing,0.09,0.03,0.0,0.0,0.12,2Gamin1DouPacHotWheVelX/HotWheWorRac05Rac
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,2007,Action,1.26,0.47,0.0,0.03,1.76,2Gamin1DouPacTheInc/FinNemTheConAdv07Act
2Xtreme,1996,Sports,1.15,0.2,0.0,0.05,1.4,2Xt96Spo
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2004,Misc,0.4,0.11,0.0,0.02,0.53,2in1ComPacSonHer/SupMonBalDel04Mis
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2013,Misc,0.09,0.01,0.0,0.01,0.12,2in1ComPacSonHer/SupMonBalDel13Mis
300: March to Glory,2007,Action,0.27,0.08,0.0,0.06,0.41,300MartoGlo07Act
3D Baseball,1996,Sports,0.02,0.01,0.0,0.0,0.03,3DBas96Spo
3D Dot Game Heroes,2009,Role-Playing,0.36,0.12,0.03,0.07,0.57,3DDotGamHer09Rol
3D Lemmings,1995,Puzzle,0.03,0.02,0.0,0.0,0.06,3DLem95Puz
3DS Classic Collection,2016,Misc,0.02,0.0,0.0,0.0,0.03,3DSClaCol16Mis
3D Tank Warfare Simulator Panzer Front,1999,Simulation,0.06,0.04,0.0,0.01,0.1,3DTanWarSimPanFro99Sim
3Xtreme,1999,Action,0.5,0.34,0.0,0.06,0.9,3Xt99Act
"3 in 1: Solitaire, Mahjong & Tangram",2010,Misc,0.0,0.07,0.0,0.01,0.08,3in1:SolMah&Tan10Mis
3rd Super Robot Wars Z: Tengoku-Hen,2015,Action,0.0,0.0,0.19,0.0,0.19,3rdSupRobWarZ:Ten15Act
3rd Super Robot Wars Z: Tengoku-Hen,2015,Action,0.0,0.0,0.15,0.0,0.15,3rdSupRobWarZ:Ten15Act
3rd Super Robot Wars Z Jigoku Hen,2014,Role-Playing,0.0,0.0,0.19,0.0,0.19,3rdSupRobWarZJigHen14Rol
3rd Super Robot Wars Z Jigoku Hen,2014,Role-Playing,0.0,0.0,0.23,0.0,0.23,3rdSupRobWarZJigHen14Rol
40 Winks,1999,Platform,0.17,0.12,0.0,0.02,0.31,40Win99Pla
428: Fuusa Sareta Shibuya de,2008,Adventure,0.0,0.0,0.13,0.0,0.13,428FuuSarShide08Adv
428: Fuusa Sareta Shibuya de,2009,Adventure,0.0,0.0,0.02,0.0,0.02,428FuuSarShide09Adv
428: Fuusa Sareta Shibuya de,2009,Adventure,0.0,0.0,0.04,0.0,0.04,428FuuSarShide09Adv
4 Elements,2009,Puzzle,0.0,0.04,0.0,0.01,0.05,4Ele09Puz
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,2005,Misc,0.11,0.0,0.0,0.01,0.12,4GamFunPacMon/Bog/Yah/Bat05Mis
4 Nin uchi Mahjong,1984,Misc,0.0,0.0,1.45,0.0,1.45,4NinuchMah84Mis
4x4 EVO 2,2001,Racing,0.18,0.05,0.0,0.01,0.24,4x4EVO201Rac
4x4 EVO 2,2002,Racing,0.11,0.03,0.0,0.0,0.14,4x4EVO202Rac
4x4 Evolution,2001,Racing,0.16,0.12,0.0,0.04,0.32,4x4Evo01Rac
50 Cent: Blood on the Sand,2009,Shooter,0.1,0.06,0.01,0.03,0.19,50CenBloontheSan09Sho
50 Cent: Blood on the Sand,2009,Shooter,0.12,0.07,0.0,0.02,0.21,50CenBloontheSan09Sho
50 Cent: Bulletproof,2005,Action,0.85,0.76,0.0,0.16,1.77,50CenBul05Act
50 Cent: Bulletproof,2005,Action,0.33,0.1,0.0,0.02,0.44,50CenBul05Act
50 Cent: Bulletproof,2006,Action,0.08,0.0,0.0,0.01,0.09,50CenBul06Act
50 Classic Games,2009,Misc,0.52,0.0,0.0,0.04,0.55,50ClaGam09Mis
50 Classic Games,2012,Misc,0.0,0.02,0.0,0.0,0.02,50ClaGam12Mis
64 de Hakken! Tamagotchi Minna de Tamagotchi World,1997,Misc,0.0,0.0,0.22,0.0,0.22,64deHakTamMindeTamWor97Mis
7 Days to Die,2016,Action,0.02,0.02,0.0,0.0,0.04,7DaytoDie16Act
